subject,video,sampling_rate_hz,EDA_Mean,EDA_SD,EDA_AUC,EDA_Slope,EDA_Tonic_Mean,EDA_Tonic_SD,EDA_Phasic_Mean,EDA_Phasic_SD,EDA_SCR_Peaks_N,EDA_SCRs_per_min,EDA_SCR_Amplitude_Mean,EDA_SCR_Amplitude_Max,EDA_Sympathetic,EDA_SympatheticN,EDA_Autocorrelation
sub_1,1,1000,5.729601455952324,0.244232543247111,1063.310869,-4.543592958716556e-06,5.729698477362015,0.24353053826694104,9.381594795651794e-05,0.001492030353841569,202.0,65.30770598600087,0.002363118844709859,0.005868792019635978,5.397169475904545e-05,4.941709072629655e-06,0.9341561772760805
sub_1,2,1000,7.9922808999150705,0.8399650105593032,1383.318672,4.93424525409536e-06,7.98953101220107,0.8259445712083536,0.00022935488875902802,0.04010940477041948,9.0,3.1198904571795034,0.060191726506298636,0.2345409620289176,0.0004986639331809681,2.386253275868489e-05,0.8324745380762233
sub_1,3,1000,7.414770964126506,0.30204853941894416,879.8812315000001,-8.78484050819894e-06,7.414669141707922,0.2996576005832829,0.0007132405737916897,0.005098355910466693,18.0,9.10109803062351,0.004789972308658075,0.018310332823873822,0.00024191121791728462,8.993231571920509e-06,0.9077880169092555
sub_1,4,1000,11.498806476190477,1.5398746202984845,1841.2350425,-3.317752523507724e-05,11.498620448457444,1.5343549684527111,0.0016700231766356344,0.02884887193721189,2.0,0.7494145199063231,0.1896145671625376,0.3752686298069657,0.0004000360316651697,7.389046623871515e-06,0.9374676749037303
sub_1,5,1000,4.844202005167959,0.10871973561925043,703.0100119999998,-2.550936494479752e-06,4.844371954912849,0.10763085089310657,-1.9968095085016157e-05,0.0034843154670425834,61.0,25.219638242894057,0.005329785252734128,0.022768937866218433,5.379829398349719e-05,6.5492609204582895e-06,0.9410209948653984
sub_1,6,1000,7.948540006814309,0.7816923869442569,1166.440128,-1.8318550208574122e-05,7.9489825497700455,0.779808983100876,0.0003167404873654218,0.0030893057217057226,75.0,30.66439522998296,0.0026038318534361096,0.005514438106074188,0.00018712627583322065,6.5215308816064754e-06,0.9205591597826885
sub_1,7,1000,10.869876888324873,5.36575772861189,2141.3553755,8.936044528332231e-05,10.872210377645372,5.3637477682294,-6.346562745357445e-05,0.14002209638542956,11.0,3.350253807106599,0.15553206442928927,0.6997342811790519,0.03070144336320132,0.0034163279420301442,0.9695295618945855
sub_1,8,1000,5.967448813913044,0.30101902746010584,857.8143479999999,4.552889063558082e-06,5.964501036187673,0.29044192852477624,0.000110063289763868,0.02370201403192336,7.0,2.9217391304347826,0.007355215663767784,0.016570519304700434,0.00037389302801741714,3.549248507088182e-05,0.844921415476697
sub_1,10,1000,10.777178146028117,0.8141898222872996,1093.883763,-2.7579705186799516e-05,10.7798235286756,0.809404222780577,-0.0005250833820595149,0.042612998915487685,1.0,0.591127181012995,0.421838107718561,0.421838107718561,0.0005772633124503516,1.1222611617564327e-05,0.9108938614045518
sub_1,11,1000,8.196322091666666,3.3159085902526217,7868.461547000001,2.338608031587964e-06,8.196382344937993,3.2755588604900683,2.8541647515141836e-06,0.3892950339486774,6.0,0.375,2.9269965543952203,13.163598873167743,0.2291581506788558,0.01003528711617535,0.9642348449303022
