subject,video,sampling_rate_hz,BVP_HR_Mean,BVP_HR_SD,BVP_HR_Min,BVP_HR_Max,BVP_Beat_Count,BVP_IBIsec_Mean,BVP_IBIsec_SD,BVP_PRV_RMSSD,BVP_PRV_pNN50
sub_1,1,1000,75.17677978302069,3.5009949356918644,67.56756756756756,89.55223880597015,232,0.7981991341991342,0.038015424064224985,0.033537778827698934,11.73913043478261
sub_1,2,1000,78.78188733951711,14.00284224604002,56.764427625354784,185.75851393188853,226,0.7641377777777777,0.12214579137496832,0.10797864785621805,45.535714285714285
sub_1,3,1000,76.75317772270398,3.164026318619873,69.93006993006993,88.88888888888889,152,0.7818940397350993,0.03280569977892829,0.027579219229944378,6.0
sub_1,4,1000,72.43380668865052,9.181523193107326,51.54639175257732,167.5977653631285,192,0.8309790575916229,0.10271895057626333,0.1324252718765529,56.315789473684205
sub_1,5,1000,76.14872331346466,4.819617644037275,62.11180124223603,93.45794392523364,183,0.7884615384615384,0.05240067688773187,0.05057935070987017,17.12707182320442
sub_1,6,1000,73.18749440838552,8.602224207439095,59.28853754940712,196.07843137254903,179,0.8208146067415731,0.08573138354022844,0.1031754306582988,48.0225988700565
sub_1,7,1000,84.25276312081087,12.634074680306359,55.762081784386616,112.14953271028037,276,0.7121199999999999,0.1077642045477912,0.049194793802050614,17.88321167883212
sub_1,8,1000,79.0873992926146,6.130336461960425,61.664953751284685,111.31725417439702,188,0.7597754010695187,0.06517547547543301,0.08727182230102644,34.40860215053764
sub_1,10,1000,73.89583584565865,3.319908997249951,65.14657980456026,84.1514726507714,125,0.8119919354838709,0.03921826762630828,0.04104795925925664,21.951219512195124
sub_1,11,1000,74.97756243251787,8.352326831672883,51.63511187607573,192.30769230769232,1197,0.8017416387959867,0.08545574832466839,0.09294459140331786,31.213389121338913
sub_1,12,1000,72.22264666262478,8.806601915596994,51.107325383304946,137.61467889908258,143,0.8332816901408451,0.10167944425034452,0.1265584550837734,43.262411347517734
sub_10,1,1000,70.32037801393355,3.7170874910716214,62.761506276150634,85.71428571428572,217,0.8534398148148149,0.044134223807345004,0.02012738502406552,1.3953488372093024
sub_10,2,1000,72.32088486090025,3.556013738655858,65.64551422319475,84.03361344537815,208,0.8296570048309179,0.0408301919728062,0.018668544750643955,1.4563106796116505
