subject,video,sampling_rate_hz,ECG_HR_Mean,ECG_HR_SD,ECG_HR_Median,ECG_HR_Max,ECG_HR_Min,ECG_R_Peaks_N,ECG_Beats_per_min,ECG_HRV_SDNN,ECG_HRV_RMSSD,ECG_HRV_pNN50,ECG_HRV_LF,ECG_HRV_HF,ECG_HRV_LFHF,ECG_HRV_SD1,ECG_HRV_SD2
sub_1,1,1000,75.16013453127938,3.4614749292643463,74.71174519417978,89.68609865470852,67.34006734006734,232,75.00687024134754,36.85059339774915,25.148601828194018,3.0303030303030303,,,,,
sub_1,2,1000,77.59032723101113,9.867733717658037,74.75748565246329,103.09278350515464,63.15789473684211,224,77.65060693424542,95.01409081414184,33.269917153299126,10.762331838565023,,,,,
sub_1,3,1000,76.73617388015322,3.2543053930249184,76.58117352282412,88.36524300441826,68.88633754305395,151,76.3481001457861,33.85757509773672,25.670603143903964,4.0,,,,,
sub_1,4,1000,71.49616240132247,5.3101420362384015,70.83825265643448,87.3362445414847,59.642147117296226,190,71.1943793911007,62.60161389585989,40.376683813120174,19.047619047619047,,,,,
sub_1,5,1000,76.15060414241104,4.668754401326114,75.76239374960362,92.02453987730061,61.91950464396285,184,76.07235142118863,48.92281085512168,29.130060754492764,6.0109289617486334,,,,,
sub_1,6,1000,72.4343179907665,4.076651583860521,72.26389363331566,84.50704225352113,62.89308176100629,177,72.3679727427598,47.579608955010215,30.901132665324745,10.795454545454545,,,,,
sub_1,7,1000,84.23911041716151,12.551630228292886,81.50860894140297,111.52416356877323,55.71030640668524,276,84.06091370558376,108.08102505116928,40.49898619980109,13.818181818181818,,,,,
sub_1,8,1000,78.99751328780565,4.603988309738975,78.27167088767118,91.88361408882082,68.41505131128848,189,78.88695652173914,44.442609315977464,25.97180700987686,3.723404255319149,,,,,
sub_1,10,1000,73.88922523272467,3.3225983634229013,74.03404763333901,82.98755186721992,64.58557588805166,125,73.89089762662437,37.75890083390447,29.204215087240208,8.064516129032258,,,,,
sub_1,11,1000,74.54460854228799,6.343247346276648,74.88908553891241,119.04761904761905,50.29337803855825,1192,74.5,70.63064661776971,44.52956717666562,18.052057094878254,,,,,
sub_1,12,1000,71.51466667206182,6.225986587990601,70.54077247538152,91.88361408882082,61.34969325153374,143,71.5,71.71032590968834,44.78823300380176,18.30985915492958,,,,,
sub_10,1,1000,70.32181541373055,3.7308478670130145,70.02732579741868,85.47008547008548,62.82722513089006,217,70.15728811367421,44.359276277950386,20.25500225324771,0.4629629629629629,,,,,
sub_10,2,1000,72.31821812323787,3.543427866622427,72.20024869102656,83.68200836820084,65.57377049180327,209,72.45078950561292,40.929164275542135,19.430664544417446,0.9615384615384616,,,,,
sub_10,3,1000,70.85471105608008,3.366586489970969,70.49958621321413,79.6812749003984,65.0759219088937,140,70.78631801596063,40.46503734350095,18.37275077429868,0.0,,,,,
sub_10,4,1000,68.73735405749355,2.843415990688487,68.55903879218047,75.0,62.43496357960458,183,68.57142857142857,36.796663500672686,21.053601678724924,1.098901098901099,,,,,
sub_10,5,1000,73.30196301008255,5.169766409715771,71.53944338999743,88.88888888888889,66.66666666666667,177,73.17829457364341,55.8544906285665,20.269047479205472,1.1363636363636365,,,,,
sub_10,6,1000,73.71974602423988,1.6434880036364297,73.8467416026981,77.41935483870968,69.60556844547564,180,73.59454855195912,19.02233984277349,17.48611005752338,0.0,,,,,
sub_10,7,1000,72.74406383542576,2.5844933355309556,72.74768325486886,88.88888888888889,66.1521499448732,239,72.79187817258884,30.650923859249694,18.220404012064858,0.8403361344537815,,,,,
sub_10,8,1000,72.72056710293634,2.507407768831138,72.81625584151071,81.74386920980926,66.59267480577137,174,72.62608695652173,28.87511060355014,15.794832831848728,0.0,,,,,
sub_10,10,1000,76.39187043351569,4.599242517036372,75.23672568682407,95.54140127388536,71.34363852556481,129,76.25540635067635,44.85014143799186,17.37837374485162,0.0,,,,,
sub_10,11,1000,76.95614204729182,6.3117721759095575,75.43699289661117,106.38297872340426,65.50218340611353,1231,76.9375,61.96453616560743,23.64259578032615,3.577235772357724,,,,,
sub_10,12,1000,76.6591718769038,4.015790971742757,75.73865821485845,86.58008658008659,70.17543859649123,153,76.5,40.83652128788375,15.993169071626873,1.3157894736842104,,,,,
sub_11,1,1000,68.72714286522613,2.940244768480525,68.30430299500559,82.07934336525308,62.24066390041494,213,68.86406621296132,37.56894880528676,28.018781784749702,6.132075471698113,,,,,
sub_11,2,1000,67.01456687978894,2.600744192946616,66.81184486382578,76.82458386683739,62.04756980351603,193,66.90431758173824,35.47234215901275,28.551689142318377,6.770833333333333,,,,,
sub_11,3,1000,69.6511284088259,3.551018988840523,69.48337676290485,79.15567282321899,61.855670103092784,137,69.26946834419005,45.14258215157333,32.46399715240117,12.5,,,,,
sub_11,4,1000,64.80423266479598,3.19143853746182,64.35327206112095,76.04562737642586,59.28853754940712,173,64.82435597189696,46.53915814509404,35.60767379018936,14.534883720930234,,,,,
sub_11,5,1000,68.66037631355165,2.6757168589360307,68.41664589637561,78.43137254901961,62.95907660020987,166,68.63049095607235,35.030640162360356,29.153086269285286,5.454545454545454,,,,,
sub_11,6,1000,66.53628184491883,3.739340667836059,65.80842676681203,81.9672131147541,59.7609561752988,163,66.64395229982964,50.351435736683236,34.78701835401725,8.024691358024691,,,,,
sub_11,7,1000,68.11210322380576,4.14013550966818,67.48526623135106,87.3362445414847,59.40594059405941,223,67.91878172588832,53.56455136959395,39.696415831460826,19.81981981981982,,,,,
sub_11,8,1000,72.06536328618863,5.605458884356699,72.64057832385265,85.34850640113798,60.06006006006006,172,71.79130434782608,66.69769143938682,33.32584229552019,9.35672514619883,,,,,
sub_11,10,1000,69.24567782473912,3.765257779128725,69.3865033315738,76.82458386683739,51.23825789923142,117,69.1618801785204,53.983977855169826,51.970392909140436,8.620689655172415,,,,,
sub_11,11,1000,67.39873309569741,5.484907666498146,66.74862184727382,89.15304606240713,54.64480874316939,1078,67.375,72.25439815610278,45.14398690748687,22.284122562674096,,,,,
sub_11,12,1000,68.65572286725119,6.564172175851011,67.14721272159099,89.82035928143712,59.523809523809526,137,68.5,81.1298426083508,35.10365602991612,15.441176470588236,,,,,
sub_12,1,1000,50.9502863387082,2.986687287436156,51.02536305881985,63.224446786090624,43.859649122807014,157,50.75895960298087,70.90841347637792,48.16845440742312,30.76923076923077,,,,,
sub_12,2,1000,60.32224231948281,5.509067627036231,59.60434037841785,76.33587786259541,47.430830039525695,174,60.317882172137075,91.4773663237865,53.463364983405576,35.26011560693642,,,,,
sub_12,3,1000,52.25270316995387,3.288607201997615,51.55104923318109,63.89776357827476,46.40371229698376,103,52.07850539745675,73.25955855600957,50.526436566209654,34.31372549019608,,,,,
sub_12,4,1000,53.744280372754694,2.761658892073769,53.76500899894462,62.43496357960458,46.80187207488299,143,53.58313817330211,59.802552371974706,46.01071413923975,32.3943661971831,,,,,
sub_12,5,1000,53.16161212712674,3.008763286939709,52.84873730928854,62.17616580310881,46.72897196261682,129,53.33333333333333,65.77271199523904,48.263548136664774,33.59375,,,,,
sub_12,6,1000,52.6245445027601,3.0759397784694964,52.21749242373113,67.95016987542469,46.692607003891055,128,52.33390119250426,67.22952029391651,49.35818228754133,36.22047244094488,,,,,
sub_12,7,1000,64.72343721936105,10.472454861494436,62.24188119682613,94.04388714733543,47.96163069544365,212,64.56852791878173,147.59541597088048,46.692815803065976,19.90521327014218,,,,,
sub_12,8,1000,55.473355001710345,3.784727732530896,55.185355886135085,66.66666666666667,48.701298701298704,133,55.513043478260876,75.59987679707284,57.23441819355028,44.696969696969695,,,,,
sub_12,10,1000,54.24635071768097,3.69757680016743,54.10406686306746,64.93506493506493,48.0,92,54.38370065319553,76.71537869586076,48.94134811747175,34.065934065934066,,,,,
sub_12,11,1000,54.836669134595255,6.060947489488686,53.438087403333626,86.20689655172414,42.85714285714286,877,54.8125,117.03283060324775,65.92448493758381,43.49315068493151,,,,,
sub_12,12,1000,55.404366961049895,5.294289986310736,54.05376448950736,75.18796992481202,46.43962848297213,110,55.0,101.86686727115182,66.68263697600804,45.87155963302752,,,,,
sub_13,1,1000,82.04489895098004,8.971094638372533,79.87987860061037,106.38297872340426,69.68641114982579,254,82.11959069526843,78.00299232059504,27.31510716371216,6.324110671936759,,,,,
sub_13,2,1000,77.23712908092594,7.656564208309698,76.19877264370108,101.35135135135135,64.6551724137931,223,77.30395243900325,76.05954308841726,40.50948160057731,21.17117117117117,,,,,
sub_13,3,1000,79.56758699748005,5.605113506392043,79.31614108525503,95.23809523809524,67.0391061452514,157,79.38179948932728,54.547498670873686,37.9611006332841,16.025641025641026,,,,,
sub_13,4,1000,71.7823300314386,4.6317589931281224,71.48256053656536,82.07934336525308,59.880239520958085,191,71.56908665105387,55.46504264097967,43.733560781444936,27.368421052631582,,,,,
sub_13,5,1000,78.54783105392187,4.784782122541994,78.4192690171138,90.9090909090909,68.88633754305395,189,78.13953488372094,47.34879881869581,37.32019281091471,19.680851063829788,,,,,
sub_13,6,1000,74.30344392168745,4.4371549757661475,74.3260865604372,84.6262341325811,65.50218340611353,181,74.00340715502556,49.358630083798154,39.40599449620117,25.0,,,,,
sub_13,7,1000,86.44295686851433,9.33597673087864,84.79000820090116,114.94252873563218,67.87330316742081,283,86.19289340101523,74.02866721972553,35.29287730707288,14.539007092198581,,,,,
sub_13,8,1000,78.62403974529647,8.014645165729481,77.26696269983331,102.04081632653062,66.88963210702342,188,78.4695652173913,76.46981362646918,43.299345645556045,21.92513368983957,,,,,
sub_13,10,1000,78.86631842081117,5.277474506349983,78.52337815255382,91.6030534351145,67.72009029345372,133,78.61991507472833,52.20722645921693,41.775572686468855,27.27272727272727,,,,,
sub_13,11,1000,76.09243350388499,6.921245304796469,75.21267140969647,107.71992818671453,59.940059940059946,1217,76.0625,70.27861967767298,42.144724198620374,21.38157894736842,,,,,
sub_13,12,1000,71.98168875079095,4.616366875880403,71.66972421246012,87.71929824561403,61.34969325153374,144,72.0,54.08531514096382,38.537342416977594,19.58041958041958,,,,,
sub_14,1,1000,62.41368846491772,2.5919062067799636,61.79717910740145,72.63922518159806,58.47953216374269,193,62.39795670939687,39.89364918107326,28.101163546553664,4.166666666666666,,,,,
sub_14,2,1000,64.14391321598731,2.371544471247145,63.80435740533658,76.14213197969544,59.7609561752988,184,63.784427124558746,35.15767897857809,29.020076415558165,4.918032786885246,,,,,
sub_14,3,1000,62.66690222351787,3.349622514096992,62.44890003110861,76.92307692307692,58.252427184466015,123,62.190836542593985,50.49676004152914,34.6064055600278,13.934426229508196,,,,,
sub_14,4,1000,61.685067773814595,3.6487715746936935,60.75366168829772,75.66204287515762,55.504162812210915,165,61.82669789227167,57.64425593592223,38.70249908704633,16.463414634146343,,,,,
sub_14,5,1000,64.65235748000393,7.454262723312283,61.921916238204254,90.22556390977444,58.13953488372093,156,64.49612403100775,98.57820077159501,36.66618456983342,12.903225806451612,,,,,
sub_14,6,1000,64.54022813430535,4.314046958629039,63.3658505866436,79.6812749003984,58.13953488372093,158,64.59965928449745,61.07212879776586,39.626056566031885,17.8343949044586,,,,,
