video,EDA_SCR_Peaks_N,EDA_SCR_Peaks_Amplitude_Mean,EDA_EDA_Tonic_SD,EDA_EDA_Sympathetic,EDA_EDA_SympatheticN,EDA_EDA_Autocorrelation
1,22.533333333333335,0.2525570604109547,1.439448126688909,0.028628367407886334,6.09401251068144e-05,0.8824046332744276
2,13.233333333333333,0.3128471410613266,1.88116310190871,0.05566712251559917,0.0004630629921784112,0.8814494293824263
3,29.4,0.17652075366385253,1.0705616303875567,0.0160823821687044,9.800343583469553e-05,0.8411858360782895
4,11.966666666666667,0.1971962164309775,1.841411577213065,0.0045387308800002866,2.5419128150770647e-05,0.9087201094817499
5,17.366666666666667,0.28362697198338677,1.2336097163471964,0.022988791633919706,0.00010700416348571655,0.8632262116886739
6,25.3,0.17663375954812738,1.85761421044161,0.009131065760283484,2.6832682856043313e-05,0.9107712848420066
7,13.233333333333333,0.8947042379645429,5.112585295061464,0.45902100476538904,0.002566829986337467,0.9130888454042112
8,12.9,0.7340915695324012,2.8451110358399547,0.13609999792468655,0.0006880855436670228,0.8518566008470091
10,17.0,0.26458998499249525,1.410735118721312,0.025592104431498328,9.310012947840539e-05,0.8642951962794263
11,13.466666666666667,3.2852076045038823,5.199322112605923,0.4592581746183174,0.005083316126548234,0.9596775206873728
12,15.0,0.37048631997119763,1.3717675393688396,0.06667127570609321,0.00015511523149875698,0.8000519251458773
