subject,video,sampling_rate_hz,EDA_SCR_Peaks_N,EDA_SCR_Peaks_Amplitude_Mean,EDA_EDA_Tonic_SD,EDA_EDA_Sympathetic,EDA_EDA_SympatheticN,EDA_EDA_Autocorrelation
sub_1,1,1000,202.0,0.002363118844709859,0.24353053826694104,5.397169475904545e-05,4.941709072629655e-06,0.9341561772760805
sub_1,2,1000,9.0,0.060191726506298636,0.8259445712083536,0.0004986639331809681,2.386253275868489e-05,0.8324745380762233
sub_1,3,1000,18.0,0.004789972308658075,0.2996576005832829,0.00024191121791728462,8.993231571920509e-06,0.9077880169092555
sub_1,4,1000,2.0,0.1896145671625376,1.5343549684527111,0.0004000360316651697,7.389046623871515e-06,0.9374676749037303
sub_1,5,1000,61.0,0.005329785252734128,0.10763085089310657,5.379829398349719e-05,6.5492609204582895e-06,0.9410209948653984
sub_1,6,1000,75.0,0.00260383185343611,0.779808983100876,0.00018712627583322065,6.5215308816064754e-06,0.9205591597826885
sub_1,7,1000,11.0,0.15553206442928927,5.3637477682294,0.03070144336320132,0.0034163279420301442,0.9695295618945855
sub_1,8,1000,7.0,0.007355215663767784,0.29044192852477624,0.00037389302801741714,3.549248507088182e-05,0.844921415476697
sub_1,10,1000,1.0,0.421838107718561,0.809404222780577,0.0005772633124503516,1.1222611617564327e-05,0.9108938614045518
sub_1,11,1000,6.0,2.9269965543952203,3.2755588604900683,0.2291581506788558,0.01003528711617535,0.9642348449303022
sub_1,12,1000,11.0,0.004106259748458712,0.20201445395775053,0.00033769804301663663,1.6361926986120715e-05,0.8260744635721273
sub_10,1,1000,3.0,0.765511260406584,3.1500258807670845,0.0029673059974487416,9.276474046077604e-06,0.9514402666327253
sub_10,2,1000,25.0,0.004630729713817548,0.8582843645951523,0.0007985047987078245,6.745676223928578e-06,0.9472574970433608
sub_10,3,1000,4.0,0.06821215575775967,0.8204420108627485,0.004392354739311597,1.1595148352317076e-05,0.8771000397084439
sub_10,4,1000,1.0,0.0036795340301757906,3.313147821747497,0.0016934115090221527,6.376928531817955e-06,0.9353929990195734
sub_10,5,1000,5.0,0.8131136739593456,1.651162766531916,0.009536564214027446,1.6567996083188194e-05,0.8636255772712159
sub_10,6,1000,3.0,0.005457294178123784,2.5788927048820924,0.00238527055483606,6.356598248192632e-06,0.919094699094959
sub_10,7,1000,7.0,0.5557634969601016,1.8351134465505166,0.13054452957296395,0.00038042275992988475,0.9145589338232569
sub_10,8,1000,7.0,0.19854557204448783,1.2231478019913866,0.008936787109841804,4.0966139096492923e-05,0.861515382541338
sub_10,10,1000,6.0,0.03972611922706338,1.7671518001461493,0.005064841692633896,1.1091772214150644e-05,0.8958012597587567
sub_10,11,1000,18.0,0.7227775124939636,5.694170640887206,0.21455715180461357,0.002283942498520321,0.9695688100438006
sub_10,12,1000,2.0,0.007500052818997585,1.4933679299385623,0.01423578617831263,3.664248240931997e-05,0.9104975239451023
