subject,start_s,end_s,video
1,1e-05,59.999010000000006,10
1,30.00001,90.00000999999999,10
1,60.00001,120.00000999999999,10
1,90.00101,149.99901,11
1,120.00101,179.99901,11
1,150.00001,209.99901,11
1,180.00001,239.99901,11
1,210.00001,269.99901,3
1,240.00001,299.99901,3
1,270.00001000000003,329.99901,3
1,300.00001000000003,359.99901,3
1,330.00001000000003,389.99901,11
1,360.00001000000003,419.99901,11
1,390.00001000000003,449.99901,11
1,420.00001000000003,479.99901,11
1,450.00001000000003,509.99901,1
1,480.00001000000003,539.99901,1
1,510.00001000000003,569.99901,1
1,540.00001,599.99901,1
1,570.00001,629.99901,1
1,600.00001,659.99901,1
1,630.00001,689.99901,11
1,660.00001,719.99901,11
1,690.00001,749.99901,11
1,720.00001,779.99901,11
1,750.00001,809.99901,5
1,780.00001,839.99901,5
1,810.00001,869.99901,5
1,840.00001,899.99901,5
1,870.00001,929.99901,5
1,900.00001,959.99901,11
1,930.00001,989.99901,11
1,960.00001,1019.99901,11
1,990.00001,1049.99901,11
1,1020.00001,1079.99901,7
1,1050.00001,1109.99901,7
1,1080.00001,1139.99901,7
1,1110.00001,1169.99901,7
1,1140.00001,1199.99901,7
1,1170.00001,1229.99901,7
1,1200.00001,1259.99901,11
1,1230.00001,1289.99901,11
1,1260.00001,1319.99901,11
1,1290.00001,1349.99901,11
1,1320.00001,1379.99901,4
1,1350.00001,1409.99901,4
1,1380.00001,1439.99901,4
1,1410.00001,1469.99901,4
1,1440.00001,1499.99901,4
1,1470.00001,1529.99901,4
1,1500.00001,1559.99901,11
1,1530.00001,1589.99901,11
1,1560.00001,1619.99901,11
1,1590.00001,1649.99901,11
1,1620.00001,1679.99901,2
1,1650.00001,1709.99901,2
1,1680.00001,1739.99901,2
1,1710.00001,1769.99901,2
1,1740.00001,1799.99901,2
1,1770.00001,1829.99901,2
1,1800.00001,1859.99901,11
1,1830.00001,1889.99901,11
1,1860.00001,1919.99901,11
1,1890.00001,1949.99901,11
1,1920.00001,1979.99901,6
1,1950.00001,2009.99901,6
1,1980.00001,2039.99901,6
1,2010.00001,2069.99901,6
1,2040.00001,2099.99901,11
1,2070.00001,2129.99901,11
1,2100.0000099999997,2159.99901,11
1,2130.0000099999997,2189.99901,11
1,2160.0000099999997,2219.99901,8
1,2190.0000099999997,2249.99901,8
1,2220.0000099999997,2279.99901,8
1,2250.0000099999997,2309.99901,8
1,2280.0000099999997,2339.99901,8
1,2310.0000099999997,2369.99901,12
1,2340.0000099999997,2399.99901,12
1,2370.0000099999997,2429.99901,12
2,0.00101,60.00001,10
2,30.00201,90.00101,10
2,60.00101,120.00101,10
2,90.00201,150.00001,11
2,120.00201,180.00001,11
2,150.00101,210.00001,11
2,180.00101,240.00001,11
2,210.00101,270.00001000000003,2
2,240.00101,300.00001000000003,2
2,270.00101,330.00001000000003,2
2,300.00101,360.00001000000003,2
2,330.00101,390.00001000000003,2
2,360.00101,420.00001000000003,2
2,390.00101,450.00001000000003,11
2,420.00101,480.00001000000003,11
2,450.00101,510.00001000000003,11
2,480.00101,540.00001,11
2,510.00101,570.00001,6
2,540.0010100000001,600.00001,6
2,570.0010100000001,630.00001,6
2,600.0010100000001,660.00001,6
2,630.0010100000001,690.00001,6
2,660.0010100000001,720.00001,11
2,690.0010100000001,750.00001,11
2,720.0010100000001,780.00001,11
2,750.0010100000001,810.00001,11
2,780.0010100000001,840.00001,4
2,810.0010100000001,870.00001,4
2,840.0010100000001,900.00001,4
2,870.0010100000001,930.00001,4
2,900.0010100000001,960.00001,4
2,930.0010100000001,990.00001,11
2,960.0010100000001,1020.00001,11
2,990.0010100000001,1050.00001,11
2,1020.0010100000001,1080.00001,11
2,1050.00101,1110.00001,8
2,1080.00101,1140.00001,8
2,1110.00101,1170.00001,8
2,1140.00101,1200.00001,8
2,1170.00101,1230.00001,8
2,1200.00101,1260.00001,11
2,1230.00101,1290.00001,11
2,1260.00101,1320.00001,11
2,1290.00101,1350.00001,11
2,1320.00101,1380.00001,1
2,1350.00101,1410.00001,1
2,1380.00101,1440.00001,1
2,1410.00101,1470.00001,1
2,1440.00101,1500.00001,1
